77.27 & 0.00 & 0.00 & 6.94 & 0.00 & 0.00 & 1.60 & 14.20 \\
40.66 & 0.00 & 0.00 & 11.56 & 0.00 & 0.07 & 6.01 & 41.69 \\
28.00 & 0.00 & 0.00 & 24.00 & 0.00 & 0.00 & 4.00 & 44.00 \\
15.81 & 0.00 & 0.00 & 60.46 & 0.00 & 0.03 & 1.78 & 21.92 \\
24.54 & 0.00 & 0.00 & 28.65 & 0.00 & 0.17 & 3.41 & 43.23 \\
25.43 & 0.00 & 0.00 & 15.15 & 0.00 & 0.16 & 10.83 & 48.43 \\
33.42 & 0.00 & 0.00 & 9.79 & 0.00 & 0.09 & 16.76 & 39.93 \\
22.29 & 0.00 & 0.00 & 15.17 & 0.00 & 0.06 & 3.56 & 58.92 \\
